index,rank,word,frequency,percentile,distance,probability,distance_probability
159,6741,"intramuscular",0,2.2971,-2.868140,0.00008887,-7.36947232
160,6740,"pyrolysis",0,2.3116,-2.868140,0.00008887,-7.36947232
161,6739,"intercostal",0,2.3261,-2.868140,0.00008887,-7.36947232
162,6738,"nonordinary",0,2.3406,-2.868140,0.00008887,-7.36947232
163,6737,"decolonized",0,2.3551,-2.868140,0.00008887,-7.36947232
164,6736,"mochi",0,2.3696,-2.778988,0.00009061,-7.36858079
165,6735,"microswitch",0,2.3841,-2.778988,0.00009061,-7.36858079
166,6734,"Tahitian",0,2.3986,-2.778988,0.00009061,-7.36858079
167,6733,"squeezebox",0,2.4130,-2.778988,0.00009061,-7.36858079
168,6732,"interiorly",0,2.4275,-2.778988,0.00009061,-7.36858079
169,6731,"eosinophilia",0,2.4420,-2.778988,0.00009061,-7.36858079
170,6730,"mycobacterial",0,2.4565,-2.778988,0.00009061,-7.36858079
171,6729,"evaluable",0,2.4710,-2.778988,0.00009061,-7.36858079
172,6728,"Heian",0,2.4855,-2.689835,0.00009235,-7.36768926
173,6727,"braising",0,2.5000,-2.689835,0.00009235,-7.36768926
174,6726,"mainstreaming",0,2.5145,-2.689835,0.00009235,-7.36768926
175,6725,"pseudopod",0,2.5290,-2.689835,0.00009235,-7.36768926
176,6724,"tyrannosaur",0,2.5435,-2.689835,0.00009235,-7.36768926
177,6723,"tunica",0,2.5580,-2.689835,0.00009235,-7.36768926
178,6722,"nucleon",0,2.5725,-2.689835,0.00009235,-7.36768926
179,6721,"transported",0,2.5870,-2.689835,0.00009235,-7.36768926
180,6720,"inducer",0,2.6014,-2.689835,0.00009235,-7.36768926
181,6719,"endomorph",0,2.6159,-2.689835,0.00009235,-7.36768926
182,6718,"doppler",0,2.6304,-2.689835,0.00009235,-7.36768926
183,6717,"behavioralist",0,2.6449,-2.689835,0.00009235,-7.36768926
184,6716,"millenarian",0,2.6594,-2.689835,0.00009235,-7.36768926
185,6715,"whitefly",0,2.6739,-2.689835,0.00009235,-7.36768926
186,6714,"phylactery",0,2.6884,-2.689835,0.00009235,-7.36768926
187,6713,"redistributional",0,2.7029,-2.689835,0.00009235,-7.36768926
188,6712,"nutraceutical",0,2.7174,-2.689835,0.00009235,-7.36768926
189,6711,"sauropod",0,2.7319,-2.600682,0.00009410,-7.36679773
190,6710,"discussant",0,2.7464,-2.600682,0.00009410,-7.36679773
191,6709,"ammonite",0,2.7609,-2.600682,0.00009410,-7.36679773
192,6708,"laryngoscope",0,2.7754,-2.600682,0.00009410,-7.36679773
193,6707,"thromboembolism",0,2.7899,-2.600682,0.00009410,-7.36679773
194,6706,"virilocal",0,2.8043,-2.600682,0.00009410,-7.36679773
195,6705,"mandoline",0,2.8188,-2.600682,0.00009410,-7.36679773
196,6704,"belatedness",0,2.8333,-2.600682,0.00009410,-7.36679773
197,6703,"hypotensive",0,2.8478,-2.600682,0.00009410,-7.36679773
198,6702,"potentilla",0,2.8623,-2.600682,0.00009410,-7.36679773
199,6701,"pollack",0,2.8768,-2.600682,0.00009410,-7.36679773
200,6700,"leukotriene",0,2.8913,-2.600682,0.00009410,-7.36679773
201,6699,"transmittance",0,2.9058,-2.600682,0.00009410,-7.36679773
202,6698,"grayling",0,2.9203,-2.600682,0.00009410,-7.36679773
203,6697,"ingrain",0,2.9348,-2.600682,0.00009410,-7.36679773
204,6696,"ujamaa",0,2.9493,-2.600682,0.00009410,-7.36679773
205,6695,"preconquest",0,2.9638,-2.600682,0.00009410,-7.36679773
206,6694,"mariculture",0,2.9783,-2.600682,0.00009410,-7.36679773
207,6693,"askari",0,2.9928,-2.600682,0.00009410,-7.36679773
208,6692,"hypostatic",0,3.0072,-2.600682,0.00009410,-7.36679773
209,6691,"autoregressive",0,3.0217,-2.600682,0.00009410,-7.36679773
210,6690,"lightship",0,3.0362,-2.600682,0.00009410,-7.36679773
211,6689,"turbofan",0,3.0507,-2.600682,0.00009410,-7.36679773
212,6688,"downwind",0,3.0652,-2.600682,0.00009410,-7.36679773
213,6687,"biliary",0,3.0797,-2.600682,0.00009410,-7.36679773
214,6686,"moa",0,3.0942,-2.511529,0.00009584,-7.36590620
215,6685,"adiabatic",0,3.1087,-2.511529,0.00009584,-7.36590620
216,6684,"cautery",0,3.1232,-2.511529,0.00009584,-7.36590620
217,6683,"haredim",0,3.1377,-2.511529,0.00009584,-7.36590620
218,6682,"marcel",0,3.1522,-2.511529,0.00009584,-7.36590620
219,6681,"mandamus",0,3.1667,-2.511529,0.00009584,-7.36590620
220,6680,"netball",0,3.1812,-2.511529,0.00009584,-7.36590620
221,6679,"combinatorial",0,3.1957,-2.511529,0.00009584,-7.36590620
222,6678,"attacked",0,3.2101,-2.511529,0.00009584,-7.36590620
223,6677,"metaphysician",0,3.2246,-2.511529,0.00009584,-7.36590620
224,6676,"titmouse",0,3.2391,-2.511529,0.00009584,-7.36590620
225,6675,"conventionalism",0,3.2536,-2.511529,0.00009584,-7.36590620
226,6674,"hemiplegia",0,3.2681,-2.511529,0.00009584,-7.36590620
227,6673,"genotypic",0,3.2826,-2.511529,0.00009584,-7.36590620
228,6672,"foetus",0,3.2971,-2.511529,0.00009584,-7.36590620
229,6671,"oedema",0,3.3116,-2.511529,0.00009584,-7.36590620
230,6670,"histiocyte",0,3.3261,-2.511529,0.00009584,-7.36590620
